Verein;Liga;Ort
FC Augsburg;Bundesliga;Ausgburg
1. FC Union Berlin;Bundesliga;Berlin
Hertha BSC;Bundesliga;Berlin
Arminia Bielefeld;Bundesliga;Bielefeld
Werder Bremen;Bundesliga;Bremen
Borussia Dortmund;Bundesliga;Dortmund
Eintracht Frankfurt;Bundesliga;Frankfurt
SC Freiburg;Bundesliga;Freiburg
TSG 1899 Hoffenheim;Bundesliga;Hoffenheim
1. FC Köln;Bundesliga;Köln
RB Leipzig;Bundesliga;Leipzig
Bayer 04 Leverkusen;Bundesliga;Leverkusen
1. FSV Mainz 05;Bundesliga;Mainz
Borussia Mönchengladbach;Bundesliga;Mönchengladbach
FC Bayern München;Bundesliga;München
FC Schalke 04;Bundesliga;Gelsenkirchen
VfB Stuttgart;Bundesliga;Stuttgart
VfL Wolfsburg;Bundesliga;Wolfsburg
FC Erzgebirge Aue;2. Bundesliga;Aue-Bad
VfL Bochum;2. Bundesliga;Bochum
Eintracht Braunschweig;2. Bundesliga;Braunschweig
SV Darmstadt 98;2. Bundesliga;Darmstadt
SpVgg Greuther Fürth;2. Bundesliga;Fürth
Hannover 96;2. Bundesliga;Hannover
Fortuna Düsseldorf;2. Bundesliga;Düsseldorf
1. FC Heidenheim;2. Bundesliga;Heidenheim
Hamburger SV;2. Bundesliga;Hamburg
Karlsruher SC;2. Bundesliga;Karlsruhe
Holstein Kiel;2. Bundesliga;Kiel
1. FC Nürnberg;2. Bundesliga;Nürnberg
SC Paderborn 07;2. Bundesliga;Paderborn
VfL Osnabrück;2. Bundesliga;Osnabrück
SSV Jahn Regensburg;2. Bundesliga;Regensburg
SV Sandhausen;2. Bundesliga;Sandhausen
FC St. Pauli;2. Bundesliga;Hamburg
Würzburger Kickers;2. Bundesliga;Würzburg
